time	V(n141)
6.102434558318637e-005	2.128395e+001
6.108702349021969e-005	2.141033e+001
6.114508336006980e-005	2.147983e+001
6.118540419635915e-005	2.150960e+001
6.122432875579264e-005	2.152798e+001
6.126935079104411e-005	2.154229e+001
6.131049635777837e-005	2.155104e+001
6.135315431763265e-005	2.155703e+001
6.139183154123447e-005	2.156067e+001
6.143295513258013e-005	2.156326e+001
6.147131957580403e-005	2.156490e+001
6.151237696270833e-005	2.156607e+001
6.155809113669662e-005	2.156692e+001
6.161188206324427e-005	2.156754e+001
6.167593552076710e-005	2.156797e+001
6.174429489576710e-005	2.156821e+001
6.181265427076711e-005	2.156834e+001
6.188101364576711e-005	2.156840e+001
6.194937302076711e-005	2.156843e+001
6.201773239576711e-005	2.156845e+001
6.208609177076711e-005	2.156845e+001
6.215445114576711e-005	2.156846e+001
6.222281052076711e-005	2.156846e+001
6.229116989576711e-005	2.156846e+001
6.235952927076711e-005	2.156846e+001
6.242788864576711e-005	2.156846e+001
6.249624802076711e-005	2.156846e+001
6.256460739576711e-005	2.156846e+001
6.263296677076711e-005	2.156846e+001
6.270132614576711e-005	2.156846e+001
6.276968552076711e-005	2.156846e+001
6.283804489576711e-005	2.156846e+001
6.290640427076712e-005	2.156846e+001
6.304312302076712e-005	2.156846e+001
6.342398239576712e-005	2.156846e+001
6.380484177076712e-005	2.156846e+001
6.418570114576712e-005	2.156846e+001
6.456656052076714e-005	2.156846e+001
6.494741989576714e-005	2.156846e+001
6.532827927076714e-005	2.156846e+001
6.570913864576714e-005	2.156846e+001
6.994741989576718e-005	2.156846e+001
6.999999999999999e-005	2.156846e+001
