Freq.	Id(M1)
1.49484924863495e+003	8.93072108400716e+001
1.50524674741107e+003	8.93116900340507e+001
1.51571656651041e+003	8.93161360897539e+001
1.52625920896057e+003	8.93205493586605e+001
1.53687518128802e+003	8.93249299753142e+001
1.54756499354240e+003	8.93292781571062e+001
1.55832915932101e+003	8.93335941820464e+001
1.56916819579351e+003	8.93378781590077e+001
1.58008262372676e+003	8.93421303167031e+001
1.59107296750985e+003	8.93463509195472e+001
1.60213975517925e+003	8.93505400509937e+001
1.61328351844426e+003	8.93546980666989e+001
1.62450479271248e+003	8.93588250866947e+001
1.63580411711557e+003	8.93629212843472e+001
1.64718203453516e+003	8.93669868782410e+001
1.65863909162889e+003	8.93710220694388e+001
1.67017583885675e+003	8.93750270510208e+001
1.68179283050744e+003	8.93790019840669e+001
1.69349062472506e+003	8.93829471475156e+001
1.70526978353592e+003	8.93868626411376e+001
1.71713087287552e+003	8.93907486887540e+001
1.72907446261574e+003	8.93946054617813e+001
1.74110112659226e+003	8.93984331802192e+001
1.75321144263208e+003	8.94022319847931e+001
1.76540599258132e+003	8.94060020858443e+001
1.77768536233315e+003	8.94097436365262e+001
1.79005014185596e+003	8.94134568574409e+001
1.80250092522167e+003	8.94171419053426e+001
1.81503831063433e+003	8.94207989579315e+001
1.82766290045881e+003	8.94244281493214e+001
1.84037530124976e+003	8.94280297226586e+001
1.85317612378075e+003	8.94316038168530e+001
1.86606598307363e+003	8.94351506239521e+001
1.87904549842804e+003	8.94386703075079e+001
1.89211529345121e+003	8.94421629846133e+001
1.90527599608789e+003	8.94456289020597e+001
1.91852823865054e+003	8.94490681686394e+001
1.93187265784971e+003	8.94524809830986e+001
1.94530989482459e+003	8.94558674837993e+001
1.95884059517387e+003	8.94592278536655e+001
1.97246540898673e+003	8.94625622550886e+001
1.98618499087409e+003	8.94658708243756e+001
2.00000000000002e+003	8.94691537654362e+001
2.01391110011345e+003	8.94724111871805e+001
2.02791895958007e+003	8.94756432600704e+001
2.04202425141440e+003	8.94788501472089e+001
2.05622765331215e+003	8.94820319981864e+001
2.07052984768277e+003	8.94851889854607e+001
2.08493152168226e+003	8.94883212324814e+001
2.09943336724615e+003	8.94914289092041e+001
2.11403608112278e+003	8.94945121318537e+001
2.12874036490674e+003	8.94975710626719e+001
2.14354692507261e+003	8.95006059146962e+001
2.15845647300887e+003	8.95036167193263e+001
2.17346972505214e+003	8.95066037226954e+001
2.18858740252150e+003	8.95095669901810e+001
2.20381023175324e+003	8.95125067005722e+001
2.21913894413571e+003	8.95154230262498e+001
2.23457427614446e+003	8.95183160258176e+001
2.25011696937764e+003	8.95211859198950e+001
2.26576777059162e+003	8.95240327983445e+001
2.28152743173687e+003	8.95268568185404e+001
2.29739670999409e+003	8.95296581129406e+001
2.31337636781060e+003	8.95324367986150e+001
2.32946717293693e+003	8.95351930549052e+001
2.34566989846378e+003	8.95379269585239e+001
2.36198532285908e+003	8.95406386665016e+001
2.37841423000547e+003	8.95433283276007e+001
2.39495740923788e+003	8.95459960025106e+001
2.41161565538155e+003	8.95486419113985e+001
2.42838976879012e+003	8.95512661232220e+001
2.44528055538416e+003	8.95538687681189e+001
2.46228882668986e+003	8.95564499906856e+001
2.47941539987800e+003	8.95590099041152e+001
2.49666109780325e+003	8.95615486456331e+001
2.51402674904368e+003	8.95640662916012e+001
2.53151318794059e+003	8.95665630129496e+001
2.54912125463855e+003	8.95690389335695e+001
2.56685179512584e+003	8.95714941282664e+001
2.58470566127501e+003	8.95739287445485e+001
2.60268371088390e+003	8.95763428847047e+001
2.62078680771676e+003	8.95787366941461e+001
2.63901582154582e+003	8.95811102449697e+001
2.65737162819305e+003	8.95834636618117e+001
2.67585510957225e+003	8.95857971053136e+001
2.69446715373141e+003	8.95881106042035e+001
2.71320865489537e+003	8.95904043450765e+001
2.73208051350882e+003	8.95926783841775e+001
2.75108363627952e+003	8.95949328864421e+001
2.77021893622188e+003	8.95971679161987e+001
2.78948733270084e+003	8.95993835869286e+001
2.80888975147603e+003	8.96015800207297e+001
2.82842712474622e+003	8.96037573150270e+001
