time	V(N141)*Id(M1)+V(N144)*Ig(M1)
2.490485238401039e-004	1.843952e+000
2.500250863401039e-004	1.843952e+000
2.510016488401039e-004	1.843952e+000
2.519782113401039e-004	1.843952e+000
2.529547738401039e-004	1.843952e+000
2.539313363401039e-004	1.843961e+000
2.540234375000000e-004	1.843958e+000
2.542076398197923e-004	1.843951e+000
2.545760444593769e-004	1.843952e+000
2.550000000000000e-004	1.843960e+000
2.550423955540624e-004	1.840491e+000
2.551271866621870e-004	1.843157e+000
2.552967688784362e-004	1.859847e+000
2.555783933402357e-004	1.892826e+000
2.560918985726344e-004	1.971568e+000
2.570684610726344e-004	2.216814e+000
2.580450235726344e-004	2.678422e+000
2.585560917136014e-004	3.177398e+000
2.588372260814073e-004	3.720066e+000
2.590074222931619e-004	4.304442e+000
2.591124634699248e-004	4.892875e+000
2.591839472168835e-004	5.473724e+000
2.592355679743408e-004	6.044529e+000
2.592839907614427e-004	6.786119e+000
2.593541285825780e-004	7.990134e+000
2.594296256202684e-004	9.086427e+000
2.595299340831977e-004	9.901016e+000
2.596957600624937e-004	8.231168e+000
2.598166551951655e-004	5.434548e+000
2.600000000000000e-004	3.254776e-001
2.600012802010348e-004	3.167181e-001
2.600038406031043e-004	3.015811e-001
2.600089614072433e-004	2.822032e-001
2.600155166326431e-004	2.705519e-001
2.600235107007413e-004	2.663544e-001
2.600329906284911e-004	2.666461e-001
2.600466074439572e-004	2.697566e-001
2.600671053314688e-004	2.754627e-001
2.601050534364849e-004	2.863300e-001
2.601809496465171e-004	3.077970e-001
2.603327420665814e-004	3.459778e-001
2.605217597024847e-004	3.715991e-001
2.606495863743126e-004	3.484513e-001
2.607675596093478e-004	2.700758e-001
2.609074796622615e-004	1.311940e-001
2.609651886511066e-004	7.983081e-002
2.610168511504452e-004	4.976959e-002
2.610777486511173e-004	2.799312e-002
2.611431550588039e-004	1.392447e-002
2.611758304188066e-004	9.750003e-003
2.612179518471708e-004	6.434762e-003
2.612541706506913e-004	4.476536e-003
2.612959994381496e-004	2.960229e-003
2.613335561296228e-004	2.035601e-003
2.613748488078389e-004	1.357083e-003
2.614159695489249e-004	9.009629e-004
2.614548912584208e-004	6.124261e-004
2.614956992783432e-004	4.089187e-004
2.615336674710643e-004	2.808725e-004
2.615749629494272e-004	1.881454e-004
2.616210686319854e-004	1.208183e-004
2.616764821509665e-004	7.121352e-005
2.617417545931944e-004	3.841645e-005
2.618263078106833e-004	1.745233e-005
2.619335056587871e-004	6.539945e-006
2.620947260769386e-004	1.578375e-006
2.623369958111805e-004	1.617209e-007
2.628215352796641e-004	-6.749677e-009
2.637906142166315e-004	2.751220e-009
2.647671767166315e-004	1.834134e-009
2.657437392166315e-004	2.412817e-009
2.667203017166315e-004	2.037654e-009
2.676968642166315e-004	2.285311e-009
2.686734267166315e-004	2.125928e-009
2.696499892166315e-004	2.231366e-009
2.706265517166315e-004	2.162708e-009
2.747488839285714e-004	2.408459e-009
2.788712161405113e-004	2.495443e-009
2.829935483524513e-004	2.423660e-009
2.871158805643913e-004	2.193111e-009
2.912382127763312e-004	1.803796e-009
2.953605449882711e-004	1.255715e-009
2.994828772002111e-004	5.488671e-010
3.000000000000000e-004	-9.524244e-005
3.000011376712150e-004	-8.008447e-004
3.000034130136450e-004	-1.817070e-003
3.000059446903794e-004	-1.793717e-003
3.000083121087144e-004	2.810880e-004
3.000115060325311e-004	7.475308e-003
