time	V(n143)
1.640338373970349e-006	9.608024e+000
1.643268061470349e-006	9.370765e+000
1.646197748970349e-006	9.132830e+000
1.649127436470349e-006	8.894245e+000
1.652057123970349e-006	8.655037e+000
1.654986811470349e-006	8.415235e+000
1.657916498970349e-006	8.174870e+000
1.660846186470349e-006	7.933979e+000
1.663775873970349e-006	7.692600e+000
1.666705561470349e-006	7.450776e+000
1.669635248970349e-006	7.208554e+000
1.672564936470349e-006	6.965986e+000
1.675494623970349e-006	6.723131e+000
1.678424311470349e-006	6.480052e+000
1.681353998970349e-006	6.236821e+000
1.684283686470349e-006	5.993520e+000
1.687213373970349e-006	5.750240e+000
1.690143061470349e-006	5.507082e+000
1.693072748970348e-006	5.264164e+000
1.696002436470348e-006	5.021617e+000
1.698932123970348e-006	4.779591e+000
1.701861811470348e-006	4.538260e+000
1.704791498970348e-006	4.297819e+000
1.707721186470348e-006	4.058499e+000
1.710650873970348e-006	3.820562e+000
1.713580561470348e-006	3.584314e+000
1.716510248970348e-006	3.350107e+000
1.719439936470348e-006	3.118349e+000
1.722369623970348e-006	2.889509e+000
1.725299311470348e-006	2.664120e+000
1.728228998970348e-006	2.442778e+000
1.731158686470348e-006	2.226131e+000
1.734088373970348e-006	2.014851e+000
1.737018061470348e-006	1.809583e+000
1.739947748970348e-006	1.610880e+000
1.742877436470348e-006	1.419115e+000
1.745807123970348e-006	1.234412e+000
1.748736811470348e-006	1.059565e+000
1.751666498970348e-006	9.025754e-001
1.754596186470348e-006	7.703858e-001
1.757525873970348e-006	6.632497e-001
1.760455561470348e-006	5.778759e-001
1.763385248970348e-006	5.106661e-001
1.766314936470348e-006	4.582029e-001
1.769244623970348e-006	4.174806e-001
1.772174311470348e-006	3.859772e-001
1.775103998970347e-006	3.616425e-001
1.778033686470347e-006	3.428450e-001
1.780963373970347e-006	3.283058e-001
1.783893061470347e-006	3.170332e-001
1.786822748970347e-006	3.082639e-001
1.789752436470347e-006	3.014129e-001
1.792682123970347e-006	2.960336e-001
1.795611811470347e-006	2.917852e-001
1.798541498970347e-006	2.884078e-001
1.801471186470347e-006	2.857035e-001
1.804400873970347e-006	2.835205e-001
1.807330561470347e-006	2.817430e-001
1.810260248970347e-006	2.802820e-001
1.813189936470347e-006	2.790687e-001
1.816119623970347e-006	2.780502e-001
1.819049311470347e-006	2.771854e-001
1.821978998970347e-006	2.764423e-001
1.824908686470347e-006	2.757958e-001
1.827838373970347e-006	2.752264e-001
1.830768061470347e-006	2.747186e-001
1.833697748970347e-006	2.742603e-001
1.836627436470347e-006	2.738418e-001
1.839557123970347e-006	2.734555e-001
1.842486811470347e-006	2.730952e-001
1.845416498970347e-006	2.727560e-001
1.848346186470347e-006	2.724342e-001
1.851275873970347e-006	2.721265e-001
1.854205561470347e-006	2.718304e-001
1.857135248970347e-006	2.715439e-001
1.860064936470346e-006	2.712653e-001
1.865924311470346e-006	2.707269e-001
1.871783686470346e-006	2.702075e-001
1.880572748970346e-006	2.694531e-001
1.886850650756060e-006	2.689295e-001
1.893128552541775e-006	2.684117e-001
1.899406454327489e-006	2.678997e-001
1.905684356113203e-006	2.673935e-001
1.911962257898917e-006	2.668930e-001
1.918240159684632e-006	2.663983e-001
1.924518061470346e-006	2.659095e-001
1.973485695398917e-006	2.622656e-001
2.022453329327488e-006	2.587990e-001
2.071420963256058e-006	2.555096e-001
2.120388597184629e-006	2.523975e-001
2.169356231113200e-006	2.494626e-001
2.218323865041771e-006	2.467049e-001
2.267291498970342e-006	2.441245e-001
2.311655338256055e-006	2.418798e-001
2.356019177541769e-006	2.397197e-001
2.400383016827483e-006	2.376440e-001
2.444746856113197e-006	2.356530e-001
2.489110695398911e-006	2.337465e-001
2.533474534684624e-006	2.319245e-001
2.577838373970338e-006	2.301871e-001
2.580768061470338e-006	2.300740e-001
2.640198865041766e-006	2.278570e-001
2.699629668613194e-006	2.257327e-001
2.759060472184622e-006	2.237010e-001
2.818491275756049e-006	2.217621e-001
2.877922079327478e-006	2.199158e-001
2.937352882898905e-006	2.181623e-001
2.996783686470333e-006	2.165014e-001
2.999713373970333e-006	2.164205e-001
3.000000000000000e-006	2.164126e-001
