Freq.	Id(M1)
1.40444487573800e+003	-4.75611011718474e+001
1.41421356237310e+003	-4.75009044592302e+001
1.42405019559708e+003	-4.74407076188349e+001
1.43395524801583e+003	-4.73805106524646e+001
1.44392919552250e+003	-4.73203135618816e+001
1.45397251732032e+003	-4.72601163488222e+001
1.46408569594563e+003	-4.71999190150293e+001
1.47426921729111e+003	-4.71397215619341e+001
1.48452357062906e+003	-4.70795239914611e+001
1.49484924863495e+003	-4.70193263050582e+001
1.50524674741107e+003	-4.69591285044353e+001
1.51571656651041e+003	-4.68989305909620e+001
1.52625920896057e+003	-4.68387325664312e+001
1.53687518128802e+003	-4.67785344322413e+001
1.54756499354240e+003	-4.67183361899159e+001
1.55832915932101e+003	-4.66581378410614e+001
1.56916819579351e+003	-4.65979393869826e+001
1.58008262372676e+003	-4.65377408291683e+001
1.59107296750985e+003	-4.64775421691475e+001
1.60213975517925e+003	-4.64173434081349e+001
1.61328351844426e+003	-4.63571445477733e+001
1.62450479271248e+003	-4.62969455893045e+001
1.63580411711557e+003	-4.62367465340409e+001
1.64718203453516e+003	-4.61765473833528e+001
1.65863909162889e+003	-4.61163481385648e+001
1.67017583885675e+003	-4.60561488009740e+001
1.68179283050744e+003	-4.59959493718117e+001
1.69349062472506e+003	-4.59357498524767e+001
1.70526978353592e+003	-4.58755502440752e+001
1.71713087287552e+003	-4.58153505478905e+001
1.72907446261574e+003	-4.57551507651104e+001
1.74110112659226e+003	-4.56949508969817e+001
1.75321144263208e+003	-4.56347509446178e+001
1.76540599258132e+003	-4.55745509092222e+001
1.77768536233315e+003	-4.55143507919000e+001
1.79005014185596e+003	-4.54541505938408e+001
1.80250092522167e+003	-4.53939503161277e+001
1.81503831063433e+003	-4.53337499598612e+001
1.82766290045881e+003	-4.52735495260666e+001
1.84037530124976e+003	-4.52133490159114e+001
1.85317612378075e+003	-4.51531484304013e+001
1.86606598307363e+003	-4.50929477706059e+001
1.87904549842804e+003	-4.50327470375408e+001
1.89211529345121e+003	-4.49725462321461e+001
1.90527599608789e+003	-4.49123453555294e+001
1.91852823865054e+003	-4.48521444085952e+001
1.93187265784971e+003	-4.47919433923609e+001
1.94530989482459e+003	-4.47317423077488e+001
1.95884059517387e+003	-4.46715411557306e+001
1.97246540898673e+003	-4.46113399372388e+001
1.98618499087409e+003	-4.45511386531611e+001
2.00000000000002e+003	-4.44909373044616e+001
2.01391110011345e+003	-4.44307358919709e+001
2.02791895958007e+003	-4.43705344165883e+001
2.04202425141440e+003	-4.43103328791939e+001
2.05622765331215e+003	-4.42501312806384e+001
2.07052984768277e+003	-4.41899296217927e+001
2.08493152168226e+003	-4.41297279034551e+001
2.09943336724615e+003	-4.40695261264725e+001
2.11403608112278e+003	-4.40093242916160e+001
2.12874036490674e+003	-4.39491223997030e+001
2.14354692507261e+003	-4.38889204516028e+001
2.15845647300887e+003	-4.38287184479559e+001
2.17346972505214e+003	-4.37685163896515e+001
2.18858740252150e+003	-4.37083142773545e+001
2.20381023175324e+003	-4.36481121118545e+001
2.21913894413571e+003	-4.35879098939247e+001
2.23457427614446e+003	-4.35277076241971e+001
2.25011696937764e+003	-4.34675053034827e+001
2.26576777059162e+003	-4.34073029324332e+001
2.28152743173687e+003	-4.33471005117693e+001
2.29739670999409e+003	-4.32868980421747e+001
2.31337636781060e+003	-4.32266955243085e+001
2.32946717293693e+003	-4.31664929588902e+001
2.34566989846378e+003	-4.31062903465184e+001
2.36198532285908e+003	-4.30460876878723e+001
2.37841423000547e+003	-4.29858849836129e+001
2.39495740923788e+003	-4.29256822343011e+001
2.41161565538155e+003	-4.28654794406590e+001
2.42838976879012e+003	-4.28052766032407e+001
2.44528055538416e+003	-4.27450737226586e+001
2.46228882668986e+003	-4.26848707995320e+001
2.47941539987800e+003	-4.26246678344411e+001
2.49666109780325e+003	-4.25644648279834e+001
2.51402674904368e+003	-4.25042617806875e+001
2.53151318794059e+003	-4.24440586931715e+001
2.54912125463855e+003	-4.23838555659985e+001
2.56685179512584e+003	-4.23236523996766e+001
2.58470566127501e+003	-4.22634491947792e+001
