time	V(out)
1.899161902018270e-007	4.617206e+001
1.947990027018270e-007	4.617206e+001
1.996818152018270e-007	4.617206e+001
2.045646277018270e-007	4.617206e+001
2.094474402018270e-007	4.617206e+001
2.143302527018270e-007	4.617206e+001
2.192130652018271e-007	4.617206e+001
2.240958777018271e-007	4.617206e+001
2.289786902018271e-007	4.617206e+001
2.338615027018271e-007	4.617206e+001
2.387443152018271e-007	4.617206e+001
2.436271277018271e-007	4.617206e+001
2.485099402018271e-007	4.617206e+001
2.533927527018272e-007	4.617206e+001
2.582755652018272e-007	4.617206e+001
2.631583777018272e-007	4.617206e+001
2.680411902018272e-007	4.617206e+001
2.778068152018272e-007	4.617206e+001
2.875724402018272e-007	4.617206e+001
2.973380652018273e-007	4.617206e+001
3.119865027018273e-007	4.617206e+001
3.266349402018273e-007	4.617206e+001
3.384931991303988e-007	4.617206e+001
3.503514580589703e-007	4.617206e+001
3.622097169875417e-007	4.617206e+001
3.740679759161132e-007	4.617206e+001
3.859262348446847e-007	4.617206e+001
3.977844937732561e-007	4.617206e+001
4.096427527018276e-007	4.617206e+001
4.821873955589706e-007	4.617206e+001
5.547320384161138e-007	4.617206e+001
6.272766812732568e-007	4.617206e+001
6.998213241303998e-007	4.617206e+001
7.723659669875429e-007	4.617206e+001
8.449106098446860e-007	4.617206e+001
9.174552527018288e-007	4.617206e+001
1.366674002701830e-006	4.617207e+001
2.577611502701804e-006	4.617207e+001
2.582494315201804e-006	4.617205e+001
2.587377127701804e-006	4.617200e+001
2.592259940201804e-006	4.617183e+001
2.597142752701803e-006	4.617152e+001
2.602025565201803e-006	4.617104e+001
2.606908377701803e-006	4.617038e+001
2.611791190201803e-006	4.616950e+001
2.616674002701803e-006	4.616840e+001
2.621556815201802e-006	4.616707e+001
2.626439627701802e-006	4.616549e+001
2.631322440201802e-006	4.616365e+001
2.636205252701802e-006	4.616154e+001
2.641088065201802e-006	4.615917e+001
2.645970877701801e-006	4.615652e+001
2.650853690201801e-006	4.615358e+001
2.655736502701801e-006	4.615036e+001
2.660619315201801e-006	4.614685e+001
2.665502127701801e-006	4.614304e+001
2.670384940201800e-006	4.613895e+001
2.675267752701800e-006	4.613455e+001
2.685033377701800e-006	4.612485e+001
2.694799002701799e-006	4.611395e+001
2.704564627701799e-006	4.610183e+001
2.714330252701799e-006	4.608848e+001
2.728978690201798e-006	4.606615e+001
2.743627127701797e-006	4.604102e+001
2.758275565201797e-006	4.601309e+001
2.772924002701796e-006	4.598232e+001
2.780596993773224e-006	4.596508e+001
2.788269984844653e-006	4.594704e+001
2.795942975916081e-006	4.592820e+001
2.803615966987509e-006	4.590856e+001
2.811288958058938e-006	4.588811e+001
2.818961949130366e-006	4.586687e+001
2.826634940201794e-006	4.584482e+001
2.831517752701794e-006	4.583036e+001
2.853141636630365e-006	4.576298e+001
2.874765520558935e-006	4.568814e+001
2.896389404487506e-006	4.560584e+001
2.918013288416076e-006	4.551609e+001
2.939637172344647e-006	4.541888e+001
2.961261056273217e-006	4.531421e+001
2.982884940201788e-006	4.520208e+001
3.003113734844644e-006	4.508998e+001
3.023342529487500e-006	4.496818e+001
3.043571324130357e-006	4.483670e+001
3.063800118773213e-006	4.469553e+001
3.084028913416069e-006	4.454467e+001
3.104257708058926e-006	4.438412e+001
3.124486502701782e-006	4.421388e+001
3.144017752701781e-006	4.403916e+001
3.163549002701780e-006	4.384882e+001
3.183080252701780e-006	4.364287e+001
3.202611502701779e-006	4.342131e+001
3.222142752701778e-006	4.318413e+001
3.241674002701777e-006	4.293134e+001
3.261205252701776e-006	4.266293e+001
3.277946324130347e-006	4.241673e+001
3.294687395558918e-006	4.215059e+001
3.311428466987489e-006	4.186450e+001
3.328169538416059e-006	4.155848e+001
3.344910609844630e-006	4.123252e+001
3.361651681273201e-006	4.088662e+001
3.378392752701772e-006	4.052078e+001
3.393041190201771e-006	4.017705e+001
3.407689627701770e-006	3.981308e+001
3.417455252701770e-006	3.955870e+001
3.427220877701770e-006	3.929457e+001
3.436986502701769e-006	3.902039e+001
3.446752127701769e-006	3.873589e+001
3.456517752701768e-006	3.844077e+001
3.466283377701768e-006	3.813475e+001
3.476049002701768e-006	3.781758e+001
3.480931815201767e-006	3.765473e+001
3.485814627701767e-006	3.748899e+001
3.490697440201767e-006	3.732035e+001
3.495580252701767e-006	3.714875e+001
3.500463065201767e-006	3.697418e+001
3.505345877701766e-006	3.679661e+001
3.510228690201766e-006	3.661601e+001
3.515111502701766e-006	3.643235e+001
3.519994315201766e-006	3.624561e+001
3.524877127701766e-006	3.605576e+001
3.529759940201765e-006	3.586279e+001
3.534642752701765e-006	3.566665e+001
3.539525565201765e-006	3.546734e+001
3.544408377701765e-006	3.526483e+001
3.549291190201765e-006	3.505909e+001
3.554174002701764e-006	3.485012e+001
3.559056815201764e-006	3.463788e+001
3.563939627701764e-006	3.442236e+001
3.568822440201764e-006	3.420354e+001
3.573705252701764e-006	3.398140e+001
3.578588065201763e-006	3.375593e+001
3.583470877701763e-006	3.352711e+001
3.588353690201763e-006	3.329492e+001
3.593236502701763e-006	3.305935e+001
3.598119315201763e-006	3.282038e+001
3.603002127701762e-006	3.257800e+001
3.607884940201762e-006	3.233220e+001
3.612767752701762e-006	3.208297e+001
3.617650565201762e-006	3.183028e+001
3.622533377701762e-006	3.157414e+001
3.627416190201761e-006	3.131453e+001
3.632299002701761e-006	3.105144e+001
3.637181815201761e-006	3.078485e+001
