time	V(OUT)*Id(M1)+V(N144)*Ig(M1)
2.655736502701801e-006	3.521153e+000
2.660619315201801e-006	4.002092e+000
2.665502127701801e-006	4.512923e+000
2.670384940201800e-006	5.053516e+000
2.675267752701800e-006	5.623739e+000
2.685033377701800e-006	6.852549e+000
2.694799002701799e-006	8.198302e+000
2.704564627701799e-006	9.659934e+000
2.714330252701799e-006	1.123637e+001
2.728978690201798e-006	1.381387e+001
2.743627127701797e-006	1.664341e+001
2.758275565201797e-006	1.972111e+001
2.772924002701796e-006	2.304295e+001
2.780596993773224e-006	2.488012e+001
2.788269984844653e-006	2.678144e+001
2.795942975916081e-006	2.874675e+001
2.803615966987509e-006	3.077586e+001
2.811288958058938e-006	3.286857e+001
2.818961949130366e-006	3.502469e+001
2.826634940201794e-006	3.724401e+001
2.831517752701794e-006	3.868763e+001
2.853141636630365e-006	4.540267e+001
2.874765520558935e-006	5.256000e+001
2.896389404487506e-006	6.015375e+001
2.918013288416076e-006	6.817761e+001
2.939637172344647e-006	7.662481e+001
2.961261056273217e-006	8.548810e+001
2.982884940201788e-006	9.475980e+001
3.003113734844644e-006	1.037643e+002
3.023342529487500e-006	1.130308e+002
3.043571324130357e-006	1.225505e+002
3.063800118773213e-006	1.323141e+002
3.084028913416069e-006	1.423119e+002
3.104257708058926e-006	1.525336e+002
3.124486502701782e-006	1.629688e+002
3.144017752701781e-006	1.732012e+002
3.163549002701780e-006	1.834849e+002
3.183080252701780e-006	1.938053e+002
3.202611502701779e-006	2.041477e+002
3.222142752701778e-006	2.144967e+002
3.241674002701777e-006	2.248367e+002
3.261205252701776e-006	2.351514e+002
3.277946324130347e-006	2.438813e+002
3.294687395558918e-006	2.524258e+002
3.311428466987489e-006	2.607696e+002
3.328169538416059e-006	2.688973e+002
3.344910609844630e-006	2.767932e+002
3.361651681273201e-006	2.844418e+002
3.378392752701772e-006	2.918272e+002
3.393041190201771e-006	2.979514e+002
3.407689627701770e-006	3.037774e+002
3.417455252701770e-006	3.074833e+002
3.427220877701770e-006	3.110380e+002
3.436986502701769e-006	3.144342e+002
3.446752127701769e-006	3.176649e+002
3.456517752701768e-006	3.207227e+002
3.466283377701768e-006	3.236009e+002
3.476049002701768e-006	3.262925e+002
3.480931815201767e-006	3.275663e+002
3.485814627701767e-006	3.287908e+002
3.490697440201767e-006	3.299654e+002
3.495580252701767e-006	3.310891e+002
3.500463065201767e-006	3.321612e+002
3.505345877701766e-006	3.331809e+002
3.510228690201766e-006	3.341472e+002
3.515111502701766e-006	3.350595e+002
3.519994315201766e-006	3.359168e+002
3.524877127701766e-006	3.367184e+002
3.529759940201765e-006	3.374636e+002
3.534642752701765e-006	3.381513e+002
3.539525565201765e-006	3.387810e+002
