4294A REV1.11
"DATE: Apr 21 2016"


"MEASURE PARAMETER: Ls - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LOG FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
9.77555010000e+04	5.347017e+00	0.000000e+00
1.02411369000e+05	5.772753e+00	0.000000e+00
1.07288985000e+05	6.200418e+00	0.000000e+00
1.12398910000e+05	6.596134e+00	0.000000e+00
1.17752209000e+05	7.081673e+00	0.000000e+00
1.23360473000e+05	7.452450e+00	0.000000e+00
1.29235845000e+05	7.805304e+00	0.000000e+00
1.35391049000e+05	8.371389e+00	0.000000e+00
1.41839410000e+05	8.869040e+00	0.000000e+00
1.48594891000e+05	9.540237e+00	0.000000e+00
1.55672121000e+05	9.818405e+00	0.000000e+00
1.63086422000e+05	1.019505e+01	0.000000e+00
1.70853850000e+05	1.082907e+01	0.000000e+00
1.78991222000e+05	1.169865e+01	0.000000e+00
1.87516158000e+05	1.229787e+01	0.000000e+00
1.96447117000e+05	1.286605e+01	0.000000e+00
2.05803437000e+05	1.363659e+01	0.000000e+00
2.15605376000e+05	1.462700e+01	0.000000e+00
2.25874160000e+05	1.522021e+01	0.000000e+00
2.36632021000e+05	1.631300e+01	0.000000e+00
2.47902254000e+05	1.692411e+01	0.000000e+00
2.59709263000e+05	1.794148e+01	0.000000e+00
2.72078612000e+05	1.888274e+01	0.000000e+00
2.85037084000e+05	1.977237e+01	0.000000e+00
2.98612738000e+05	2.097543e+01	0.000000e+00
3.12834969000e+05	2.195488e+01	0.000000e+00
3.27734572000e+05	2.288082e+01	0.000000e+00
3.43343809000e+05	2.432365e+01	0.000000e+00
3.59696477000e+05	2.562696e+01	0.000000e+00
3.76827984000e+05	2.671008e+01	0.000000e+00
3.94775426000e+05	2.798758e+01	0.000000e+00
4.13577662000e+05	2.916503e+01	0.000000e+00
4.33275406000e+05	3.055886e+01	0.000000e+00
4.53911307000e+05	3.230807e+01	0.000000e+00
4.75530048000e+05	3.410462e+01	0.000000e+00
4.98178439000e+05	3.532294e+01	0.000000e+00
5.21905521000e+05	3.740263e+01	0.000000e+00
5.46762669000e+05	3.866518e+01	0.000000e+00
5.72803705000e+05	4.045103e+01	0.000000e+00
6.00085014000e+05	4.283102e+01	0.000000e+00
6.28665670000e+05	4.514458e+01	0.000000e+00
6.58607555000e+05	4.733229e+01	0.000000e+00
