rload	V(OUT)*I(R3)	V(out)	I(R3)
Step Information: Ifail=1  (Run: 1/4)
1.737800828749395e-017	1.398809e-015	1.559119e-016	8.971791e+000
1.819700858610004e-017	1.464732e-015	1.632598e-016	8.971791e+000
1.905460717963269e-017	1.533763e-015	1.709539e-016	8.971791e+000
1.995262314968902e-017	1.606047e-015	1.790108e-016	8.971791e+000
2.089296130854063e-017	1.681738e-015	1.874473e-016	8.971791e+000
2.187761623949578e-017	1.760996e-015	1.962814e-016	8.971791e+000
2.290867652767799e-017	1.843989e-015	2.055319e-016	8.971791e+000
2.398832919019518e-017	1.930893e-015	2.152183e-016	8.971791e+000
2.511886431509609e-017	2.021894e-015	2.253612e-016	8.971791e+000
2.630267991895413e-017	2.117182e-015	2.359821e-016	8.971791e+000
2.754228703338199e-017	2.216962e-015	2.471037e-016	8.971791e+000
2.884031503126640e-017	2.321444e-015	2.587493e-016	8.971791e+000
3.019951720402052e-017	2.430851e-015	2.709438e-016	8.971791e+000
3.162277660168417e-017	2.545413e-015	2.837129e-016	8.971791e+000
3.311311214825951e-017	2.665375e-015	2.970839e-016	8.971791e+000
3.467368504525359e-017	2.790990e-015	3.110851e-016	8.971791e+000
3.630780547701058e-017	2.922525e-015	3.257460e-016	8.971791e+000
3.801893963205659e-017	3.060260e-015	3.410980e-016	8.971791e+000
3.981071705535023e-017	3.204486e-015	3.571734e-016	8.971791e+000
4.168693834703407e-017	3.355508e-015	3.740065e-016	8.971791e+000
4.365158322401715e-017	3.513648e-015	3.916329e-016	8.971791e+000
4.570881896148809e-017	3.679242e-015	4.100900e-016	8.971791e+000
4.786300923226445e-017	3.852639e-015	4.294169e-016	8.971791e+000
5.011872336272787e-017	4.034208e-015	4.496547e-016	8.971791e+000
5.248074602497794e-017	4.224335e-015	4.708463e-016	8.971791e+000
5.495408738576317e-017	4.423421e-015	4.930366e-016	8.971791e+000
5.754399373371645e-017	4.631891e-015	5.162727e-016	8.971791e+000
6.025595860743657e-017	4.850185e-015	5.406038e-016	8.971791e+000
6.309573444802017e-017	5.078767e-015	5.660818e-016	8.971791e+000
6.606934480076048e-017	5.318122e-015	5.927603e-016	8.971791e+000
6.918309709189458e-017	5.568757e-015	6.206963e-016	8.971791e+000
7.244359600749999e-017	5.831205e-015	6.499488e-016	8.971791e+000
7.585775750291941e-017	6.106021e-015	6.805800e-016	8.971791e+000
7.943282347242925e-017	6.393789e-015	7.126547e-016	8.971791e+000
8.317637711026825e-017	6.695119e-015	7.462411e-016	8.971791e+000
8.709635899560927e-017	7.010650e-015	7.814103e-016	8.971791e+000
9.120108393559225e-017	7.341052e-015	8.182371e-016	8.971791e+000
9.549925860214493e-017	7.687025e-015	8.567994e-016	8.971791e+000
1.000000000000014e-016	8.049304e-015	8.971791e-016	8.971791e+000
1.047128548050914e-016	8.428655e-015	9.394618e-016	8.971791e+000
1.096478196143201e-016	8.825886e-015	9.837373e-016	8.971791e+000
1.148153621496899e-016	9.241837e-015	1.030099e-015	8.971791e+000
1.202264434617430e-016	9.677391e-015	1.078646e-015	8.971791e+000
1.258925411794186e-016	1.013347e-014	1.129482e-015	8.971791e+000
1.318256738556427e-016	1.061105e-014	1.182712e-015	8.971791e+000
1.380384264602905e-016	1.111113e-014	1.238452e-015	8.971791e+000
1.445439770745949e-016	1.163478e-014	1.296818e-015	8.971791e+000
1.513561248436231e-016	1.218311e-014	1.357935e-015	8.971791e+000
1.584893192461137e-016	1.275729e-014	1.421933e-015	8.971791e+000
1.659586907437586e-016	1.335852e-014	1.488947e-015	8.971791e+000
1.737800828749402e-016	1.398809e-014	1.559119e-015	8.971791e+000
1.819700858610011e-016	1.464732e-014	1.632598e-015	8.971791e+000
1.905460717963276e-016	1.533763e-014	1.709539e-015	8.971791e+000
1.995262314968910e-016	1.606047e-014	1.790108e-015	8.971791e+000
2.089296130854071e-016	1.681738e-014	1.874473e-015	8.971791e+000
2.187761623949586e-016	1.760996e-014	1.962814e-015	8.971791e+000
2.290867652767808e-016	1.843989e-014	2.055318e-015	8.971791e+000
2.398832919019527e-016	1.930894e-014	2.152183e-015	8.971791e+000
2.511886431509619e-016	2.021894e-014	2.253612e-015	8.971791e+000
2.630267991895423e-016	2.117183e-014	2.359822e-015	8.971791e+000
2.754228703338210e-016	2.216962e-014	2.471037e-015	8.971791e+000
2.884031503126652e-016	2.321444e-014	2.587493e-015	8.971791e+000
3.019951720402064e-016	2.430851e-014	2.709438e-015	8.971791e+000
3.162277660168430e-016	2.545413e-014	2.837129e-015	8.971791e+000
3.311311214825964e-016	2.665375e-014	2.970839e-015	8.971791e+000
3.467368504525372e-016	2.790990e-014	3.110850e-015	8.971791e+000
3.630780547701072e-016	2.922526e-014	3.257460e-015	8.971791e+000
3.801893963205674e-016	3.060260e-014	3.410980e-015	8.971791e+000
3.981071705535038e-016	3.204485e-014	3.571734e-015	8.971791e+000
4.168693834703422e-016	3.355508e-014	3.740065e-015	8.971791e+000
4.365158322401731e-016	3.513648e-014	3.916329e-015	8.971791e+000
4.570881896148826e-016	3.679242e-014	4.100900e-015	8.971791e+000
4.786300923226463e-016	3.852639e-014	4.294169e-015	8.971791e+000
5.011872336272806e-016	4.034208e-014	4.496547e-015	8.971791e+000
5.248074602497814e-016	4.224334e-014	4.708463e-015	8.971791e+000
5.495408738576338e-016	4.423421e-014	4.930366e-015	8.971791e+000
5.754399373371666e-016	4.631891e-014	5.162727e-015	8.971791e+000
6.025595860743680e-016	4.850185e-014	5.406039e-015	8.971791e+000
6.309573444802040e-016	5.078767e-014	5.660817e-015	8.971791e+000
6.606934480076073e-016	5.318122e-014	5.927603e-015	8.971791e+000
6.918309709189484e-016	5.568758e-014	6.206963e-015	8.971791e+000
7.244359600750026e-016	5.831205e-014	6.499488e-015	8.971791e+000
7.585775750291969e-016	6.106021e-014	6.805800e-015	8.971791e+000
7.943282347242952e-016	6.393789e-014	7.126546e-015	8.971791e+000
8.317637711026855e-016	6.695119e-014	7.462410e-015	8.971791e+000
8.709635899560959e-016	7.010650e-014	7.814103e-015	8.971791e+000
9.120108393559257e-016	7.341052e-014	8.182370e-015	8.971791e+000
9.549925860214527e-016	7.687025e-014	8.567994e-015	8.971791e+000
1.000000000000018e-015	8.049303e-014	8.971791e-015	8.971791e+000
1.047128548050918e-015	8.428656e-014	9.394619e-015	8.971791e+000
1.096478196143205e-015	8.825886e-014	9.837373e-015	8.971791e+000
1.148153621496903e-015	9.241837e-014	1.030099e-014	8.971791e+000
1.202264434617435e-015	9.677391e-014	1.078646e-014	8.971791e+000
1.258925411794190e-015	1.013347e-013	1.129482e-014	8.971791e+000
1.318256738556431e-015	1.061105e-013	1.182712e-014	8.971791e+000
1.380384264602910e-015	1.111113e-013	1.238452e-014	8.971791e+000
1.445439770745954e-015	1.163478e-013	1.296818e-014	8.971791e+000
1.513561248436236e-015	1.218311e-013	1.357936e-014	8.971791e+000
1.584893192461143e-015	1.275729e-013	1.421933e-014	8.971791e+000
1.659586907437591e-015	1.335852e-013	1.488947e-014	8.971791e+000
1.737800828749408e-015	1.398809e-013	1.559119e-014	8.971791e+000
1.819700858610017e-015	1.464732e-013	1.632598e-014	8.971791e+000
1.905460717963283e-015	1.533763e-013	1.709539e-014	8.971791e+000
1.995262314968917e-015	1.606047e-013	1.790108e-014	8.971791e+000
2.089296130854079e-015	1.681738e-013	1.874473e-014	8.971791e+000
2.187761623949594e-015	1.760996e-013	1.962814e-014	8.971791e+000
2.290867652767817e-015	1.843989e-013	2.055319e-014	8.971791e+000
2.398832919019537e-015	1.930894e-013	2.152183e-014	8.971791e+000
2.511886431509628e-015	2.021894e-013	2.253612e-014	8.971791e+000
2.630267991895432e-015	2.117183e-013	2.359821e-014	8.971791e+000
2.754228703338220e-015	2.216962e-013	2.471036e-014	8.971791e+000
2.884031503126662e-015	2.321444e-013	2.587493e-014	8.971791e+000
3.019951720402075e-015	2.430851e-013	2.709437e-014	8.971791e+000
3.162277660168441e-015	2.545413e-013	2.837129e-014	8.971791e+000
3.311311214825976e-015	2.665375e-013	2.970839e-014	8.971791e+000
3.467368504525385e-015	2.790990e-013	3.110850e-014	8.971791e+000
3.630780547701085e-015	2.922525e-013	3.257460e-014	8.971791e+000
3.801893963205687e-015	3.060260e-013	3.410980e-014	8.971791e+000
