V(out)	I(R_load)	power
6.606494e-016	9.999333e+000	6.6060536e-15	
6.917849e-016	9.999333e+000	6.91738843e-15	
7.243877e-016	9.999333e+000	7.24339362e-15	
7.585271e-016	9.999333e+000	7.5847649e-15	
7.942753e-016	9.999333e+000	7.94222397e-15	
8.317084e-016	9.999333e+000	8.31652914e-15	
8.709056e-016	9.999333e+000	8.70847536e-15	
9.119501e-016	9.999333e+000	9.11889262e-15	
9.549290e-016	9.999333e+000	9.5486537e-15	
9.999334e-016	9.999333e+000	9.99866794e-15	
1.047059e-015	9.999333e+000	1.0469898e-14	
1.096405e-015	9.999333e+000	1.09633191e-14	
1.148077e-015	9.999333e+000	1.14800082e-14	
1.202184e-015	9.999333e+000	1.20210336e-14	
1.258842e-015	9.999333e+000	1.25875851e-14	
1.318169e-015	9.999333e+000	1.31808073e-14	
1.380292e-015	9.999333e+000	1.3801997e-14	
1.445343e-015	9.999333e+000	1.44524663e-14	
1.513460e-015	9.999333e+000	1.51335886e-14	
1.584788e-015	9.999333e+000	1.58468283e-14	
1.659476e-015	9.999333e+000	1.65936505e-14	
1.737685e-015	9.999333e+000	1.73756876e-14	
1.819580e-015	9.999333e+000	1.81945874e-14	
1.905334e-015	9.999333e+000	1.90520741e-14	
1.995129e-015	9.999333e+000	1.99499635e-14	
2.089157e-015	9.999333e+000	2.08901779e-14	
2.187616e-015	9.999333e+000	2.1874701e-14	
2.290715e-015	9.999333e+000	2.29056227e-14	
2.398673e-015	9.999333e+000	2.39851253e-14	
2.511719e-015	9.999333e+000	2.51155125e-14	
2.630093e-015	9.999333e+000	2.629918e-14	
2.754045e-015	9.999333e+000	2.75386145e-14	
2.883839e-015	9.999333e+000	2.88364711e-14	
3.019751e-015	9.999333e+000	3.0195496e-14	
3.162067e-015	9.999333e+000	3.16185579e-14	
3.311091e-015	9.999333e+000	3.31087082e-14	
3.467138e-015	9.999333e+000	3.46690747e-14	
3.630539e-015	9.999333e+000	3.63029684e-14	
3.801641e-015	9.999333e+000	3.80138681e-14	
3.980806e-015	9.999333e+000	3.98054051e-14	
4.168416e-015	9.999333e+000	4.16813788e-14	
4.364868e-015	9.999333e+000	4.3645771e-14	
4.570578e-015	9.999333e+000	4.57027322e-14	
4.785982e-015	9.999333e+000	4.78566261e-14	
5.011538e-015	9.999333e+000	5.01120451e-14	
5.247725e-015	9.999333e+000	5.24737498e-14	
5.495042e-015	9.999333e+000	5.494676e-14	
5.754016e-015	9.999333e+000	5.75363242e-14	
6.025194e-015	9.999333e+000	6.024792e-14	
6.309153e-015	9.999333e+000	6.30873303e-14	
6.606494e-015	9.999333e+000	6.6060536e-14	
6.917849e-015	9.999333e+000	6.91738843e-14	
7.243877e-015	9.999333e+000	7.24339362e-14	
7.585271e-015	9.999333e+000	7.5847649e-14	
7.942753e-015	9.999333e+000	7.94222397e-14	
8.317083e-015	9.999333e+000	8.31652914e-14	
8.709056e-015	9.999333e+000	8.70847536e-14	
9.119501e-015	9.999333e+000	9.11889262e-14	
9.549289e-015	9.999333e+000	9.54865218e-14	
9.999334e-015	9.999333e+000	9.99866794e-14	
1.047059e-014	9.999333e+000	1.0469898e-13	
1.096405e-014	9.999333e+000	1.09633191e-13	
1.148077e-014	9.999333e+000	1.14800082e-13	
1.202184e-014	9.999333e+000	1.20210336e-13	
1.258842e-014	9.999333e+000	1.25875851e-13	
1.318169e-014	9.999333e+000	1.31808073e-13	
1.380292e-014	9.999333e+000	1.3801997e-13	
1.445343e-014	9.999333e+000	1.44524663e-13	
1.513460e-014	9.999333e+000	1.51335886e-13	
1.584788e-014	9.999333e+000	1.58468283e-13	
1.659476e-014	9.999333e+000	1.65936505e-13	
1.737685e-014	9.999333e+000	1.73756876e-13	
1.819580e-014	9.999333e+000	1.81945874e-13	
1.905334e-014	9.999333e+000	1.90520741e-13	
1.995129e-014	9.999333e+000	1.99499635e-13	
2.089157e-014	9.999333e+000	2.08901779e-13	
2.187616e-014	9.999333e+000	2.1874701e-13	
2.290715e-014	9.999333e+000	2.29056227e-13	
2.398673e-014	9.999333e+000	2.39851253e-13	
2.511719e-014	9.999333e+000	2.51155125e-13	
2.630093e-014	9.999333e+000	2.629918e-13	
2.754045e-014	9.999333e+000	2.75386145e-13	
2.883839e-014	9.999333e+000	2.88364711e-13	
3.019750e-014	9.999333e+000	3.01954808e-13	
3.162067e-014	9.999333e+000	3.16185579e-13	
3.311091e-014	9.999333e+000	3.31087082e-13	
3.467138e-014	9.999333e+000	3.46690747e-13	
3.630539e-014	9.999333e+000	3.63029684e-13	
3.801641e-014	9.999333e+000	3.80138681e-13	
3.980807e-014	9.999333e+000	3.98054204e-13	
4.168416e-014	9.999333e+000	4.16813788e-13	
4.364868e-014	9.999333e+000	4.3645771e-13	
4.570577e-014	9.999333e+000	4.5702717e-13	
4.785982e-014	9.999333e+000	4.78566261e-13	
5.011539e-014	9.999333e+000	5.01120451e-13	
5.247725e-014	9.999333e+000	5.24737498e-13	
5.495043e-014	9.999333e+000	5.494676e-13	
5.754016e-014	9.999333e+000	5.75363242e-13	
6.025195e-014	9.999333e+000	6.02479353e-13	
6.309153e-014	9.999333e+000	6.30873303e-13	
6.606494e-014	9.999333e+000	6.6060536e-13	
6.917849e-014	9.999333e+000	6.91738843e-13	
7.243877e-014	9.999333e+000	7.24339362e-13	
7.585270e-014	9.999333e+000	7.5847649e-13	
7.942753e-014	9.999333e+000	7.94222397e-13	
8.317084e-014	9.999333e+000	8.31652914e-13	
8.709056e-014	9.999333e+000	8.70847536e-13	
9.119501e-014	9.999333e+000	9.11889262e-13	
9.549290e-014	9.999333e+000	9.5486537e-13	
9.999334e-014	9.999333e+000	9.99866794e-13	
1.047059e-013	9.999333e+000	1.0469898e-12	
1.096405e-013	9.999333e+000	1.09633191e-12	
1.148077e-013	9.999333e+000	1.14800082e-12	
1.202184e-013	9.999333e+000	1.20210336e-12	
1.258842e-013	9.999333e+000	1.25875851e-12	
1.318169e-013	9.999333e+000	1.31808073e-12	
1.380292e-013	9.999333e+000	1.3801997e-12	
1.445343e-013	9.999333e+000	1.44524663e-12	
1.513460e-013	9.999333e+000	1.51335886e-12	
1.584788e-013	9.999333e+000	1.58468283e-12	
1.659476e-013	9.999333e+000	1.65936505e-12	
1.737685e-013	9.999333e+000	1.73756876e-12	
1.819580e-013	9.999333e+000	1.81945874e-12	
1.905334e-013	9.999333e+000	1.90520741e-12	
1.995129e-013	9.999333e+000	1.99499635e-12	
2.089157e-013	9.999333e+000	2.08901779e-12	
2.187616e-013	9.999333e+000	2.1874701e-12	
2.290715e-013	9.999333e+000	2.29056227e-12	
2.398673e-013	9.999333e+000	2.39851253e-12	
2.511719e-013	9.999333e+000	2.51155125e-12	
2.630093e-013	9.999333e+000	2.629918e-12	
2.754045e-013	9.999333e+000	2.75386145e-12	
2.883839e-013	9.999333e+000	2.88364711e-12	
3.019751e-013	9.999333e+000	3.0195496e-12	
3.162067e-013	9.999333e+000	3.16185579e-12	
3.311091e-013	9.999333e+000	3.31087082e-12	
3.467138e-013	9.999333e+000	3.46690747e-12	
3.630539e-013	9.999333e+000	3.63029684e-12	
3.801641e-013	9.999333e+000	3.80138681e-12	
3.980807e-013	9.999333e+000	3.98054204e-12	
4.168416e-013	9.999333e+000	4.16813788e-12	
4.364868e-013	9.999333e+000	4.3645771e-12	
4.570577e-013	9.999333e+000	4.5702717e-12	
4.785982e-013	9.999333e+000	4.78566261e-12	
5.011539e-013	9.999333e+000	5.01120451e-12	
5.247725e-013	9.999333e+000	5.24737498e-12	
5.495042e-013	9.999333e+000	5.494676e-12	
5.754016e-013	9.999333e+000	5.75363242e-12	
6.025194e-013	9.999333e+000	6.024792e-12	
6.309153e-013	9.999333e+000	6.30873303e-12	
6.606494e-013	9.999333e+000	6.6060536e-12	
6.917849e-013	9.999333e+000	6.91738843e-12	
7.243877e-013	9.999333e+000	7.24339362e-12	
7.585270e-013	9.999333e+000	7.5847649e-12	
7.942753e-013	9.999333e+000	7.94222397e-12	
8.317083e-013	9.999333e+000	8.31652914e-12	
8.709056e-013	9.999333e+000	8.70847536e-12	
9.119501e-013	9.999333e+000	9.11889262e-12	
9.549290e-013	9.999333e+000	9.5486537e-12	
9.999334e-013	9.999333e+000	9.99866794e-12	
1.047059e-012	9.999333e+000	1.0469898e-11	
1.096405e-012	9.999333e+000	1.09633191e-11	
1.148077e-012	9.999333e+000	1.14800082e-11	
1.202184e-012	9.999333e+000	1.20210336e-11	
1.258842e-012	9.999333e+000	1.25875851e-11	
1.318169e-012	9.999333e+000	1.31808073e-11	
1.380292e-012	9.999333e+000	1.3801997e-11	
1.445343e-012	9.999333e+000	1.44524663e-11	
1.513460e-012	9.999333e+000	1.51335886e-11	
1.584788e-012	9.999333e+000	1.58468283e-11	
1.659476e-012	9.999333e+000	1.65936505e-11	
1.737685e-012	9.999333e+000	1.73756876e-11	
1.819580e-012	9.999333e+000	1.81945874e-11	
1.905334e-012	9.999333e+000	1.90520741e-11	
1.995129e-012	9.999333e+000	1.99499635e-11	
2.089157e-012	9.999333e+000	2.08901779e-11	
2.187616e-012	9.999333e+000	2.1874701e-11	
2.290715e-012	9.999333e+000	2.29056227e-11	
2.398673e-012	9.999333e+000	2.39851253e-11	
2.511719e-012	9.999333e+000	2.51155125e-11	
2.630093e-012	9.999333e+000	2.629918e-11	
2.754045e-012	9.999333e+000	2.75386145e-11	
2.883839e-012	9.999333e+000	2.88364711e-11	
3.019750e-012	9.999333e+000	3.01954808e-11	
3.162067e-012	9.999333e+000	3.16185579e-11	
3.311091e-012	9.999333e+000	3.31087082e-11	
3.467137e-012	9.999333e+000	3.46690594e-11	
3.630539e-012	9.999333e+000	3.63029684e-11	
3.801641e-012	9.999333e+000	3.80138681e-11	
3.980807e-012	9.999333e+000	3.98054204e-11	
4.168416e-012	9.999333e+000	4.16813788e-11	
4.364867e-012	9.999333e+000	4.36457558e-11	
4.570577e-012	9.999333e+000	4.5702717e-11	
4.785982e-012	9.999333e+000	4.78566261e-11	
