V(out)	I(R_load)
5.449072e-010	9.915682e+000
5.705879e-010	9.915682e+000
5.974789e-010	9.915682e+000
6.256372e-010	9.915682e+000
6.551226e-010	9.915682e+000
6.859975e-010	9.915682e+000
7.183276e-010	9.915682e+000
7.521814e-010	9.915682e+000
7.876306e-010	9.915682e+000
8.247505e-010	9.915682e+000
8.636198e-010	9.915682e+000
9.043209e-010	9.915682e+000
9.469402e-010	9.915682e+000
9.915682e-010	9.915682e+000
1.038299e-009	9.915682e+000
1.087233e-009	9.915682e+000
1.138473e-009	9.915682e+000
1.192127e-009	9.915682e+000
1.248310e-009	9.915682e+000
1.307141e-009	9.915682e+000
1.368745e-009	9.915682e+000
1.433252e-009	9.915682e+000
1.500799e-009	9.915682e+000
1.571530e-009	9.915682e+000
1.645594e-009	9.915682e+000
1.723148e-009	9.915682e+000
1.804357e-009	9.915682e+000
1.889394e-009	9.915682e+000
1.978439e-009	9.915682e+000
2.071679e-009	9.915682e+000
2.169315e-009	9.915682e+000
2.271551e-009	9.915682e+000
2.378606e-009	9.915682e+000
2.490707e-009	9.915682e+000
2.608090e-009	9.915682e+000
2.731005e-009	9.915682e+000
2.859714e-009	9.915682e+000
2.994488e-009	9.915682e+000
3.135614e-009	9.915682e+000
3.283391e-009	9.915682e+000
3.438132e-009	9.915682e+000
3.600166e-009	9.915682e+000
3.769837e-009	9.915682e+000
3.947504e-009	9.915682e+000
4.133544e-009	9.915682e+000
4.328352e-009	9.915682e+000
4.532341e-009	9.915682e+000
4.745944e-009	9.915682e+000
4.969613e-009	9.915682e+000
5.203824e-009	9.915682e+000
5.449072e-009	9.915682e+000
5.705879e-009	9.915682e+000
5.974789e-009	9.915682e+000
6.256372e-009	9.915682e+000
6.551226e-009	9.915682e+000
6.859976e-009	9.915682e+000
7.183276e-009	9.915682e+000
7.521813e-009	9.915682e+000
7.876306e-009	9.915682e+000
8.247505e-009	9.915682e+000
8.636198e-009	9.915682e+000
9.043209e-009	9.915682e+000
9.469402e-009	9.915682e+000
9.915682e-009	9.915682e+000
1.038299e-008	9.915682e+000
1.087233e-008	9.915682e+000
