V(out)	I(R_load)	power
4.325894e-014	8.631293e+000	3.73380588e-13	
4.529767e-014	8.631293e+000	3.90977435e-13	
4.743249e-014	8.631293e+000	4.09403749e-13	
4.966791e-014	8.631293e+000	4.2869825e-13	
5.200869e-014	8.631293e+000	4.48902292e-13	
5.445978e-014	8.631293e+000	4.70058284e-13	
5.702639e-014	8.631293e+000	4.922114e-13	
5.971396e-014	8.631293e+000	5.15408656e-13	
6.252820e-014	8.631293e+000	5.39699182e-13	
6.547506e-014	8.631293e+000	5.6513447e-13	
6.856080e-014	8.631293e+000	5.91768388e-13	
7.179197e-014	8.631293e+000	6.19657567e-13	
7.517542e-014	8.631293e+000	6.48861012e-13	
7.871833e-014	8.631293e+000	6.79440886e-13	
8.242821e-014	8.631293e+000	7.11461986e-13	
8.631294e-014	8.631293e+000	7.44992271e-13	
9.038074e-014	8.631293e+000	7.801026e-13	
9.464025e-014	8.631293e+000	8.16867645e-13	
9.910051e-014	8.631293e+000	8.55365508e-13	
1.037710e-013	8.631293e+000	8.9567836e-13	
1.086615e-013	8.631293e+000	9.378892e-13	
1.137826e-013	8.631293e+000	9.8209138e-13	
1.191450e-013	8.631293e+000	1.0283758e-12	
1.247601e-013	8.631293e+000	1.07684122e-12	
1.306399e-013	8.631293e+000	1.12759167e-12	
1.367968e-013	8.631293e+000	1.18073387e-12	
1.432438e-013	8.631293e+000	1.23637973e-12	
1.499947e-013	8.631293e+000	1.29464781e-12	
1.570637e-013	8.631293e+000	1.35566321e-12	
1.644659e-013	8.631293e+000	1.41955368e-12	
1.722169e-013	8.631293e+000	1.4864549e-12	
1.803333e-013	8.631293e+000	1.55650908e-12	
1.888321e-013	8.631293e+000	1.62986505e-12	
1.977315e-013	8.631293e+000	1.70667824e-12	
2.070503e-013	8.631293e+000	1.78711194e-12	
2.168083e-013	8.631293e+000	1.87133606e-12	
2.270261e-013	8.631293e+000	1.9595284e-12	
2.377256e-013	8.631293e+000	2.05187859e-12	
2.489292e-013	8.631293e+000	2.14858025e-12	
2.606609e-013	8.631293e+000	2.24984016e-12	
2.729455e-013	8.631293e+000	2.35587299e-12	
2.858090e-013	8.631293e+000	2.46690132e-12	
2.992787e-013	8.631293e+000	2.5831622e-12	
3.133833e-013	8.631293e+000	2.70490326e-12	
3.281526e-013	8.631293e+000	2.8323813e-12	
3.436180e-013	8.631293e+000	2.96586763e-12	
3.598122e-013	8.631293e+000	3.1056441e-12	
3.767696e-013	8.631293e+000	3.25200838e-12	
3.945262e-013	8.631293e+000	3.40527124e-12	
4.131197e-013	8.631293e+000	3.5657567e-12	
4.325894e-013	8.631293e+000	3.73380588e-12	
4.529767e-013	8.631293e+000	3.90977435e-12	
4.743248e-013	8.631293e+000	4.09403618e-12	
4.966791e-013	8.631293e+000	4.2869825e-12	
5.200868e-013	8.631293e+000	4.4890216e-12	
5.445978e-013	8.631293e+000	4.70058284e-12	
5.702639e-013	8.631293e+000	4.922114e-12	
5.971396e-013	8.631293e+000	5.15408656e-12	
6.252819e-013	8.631293e+000	5.3969905e-12	
6.547506e-013	8.631293e+000	5.6513447e-12	
6.856080e-013	8.631293e+000	5.91768388e-12	
7.179197e-013	8.631293e+000	6.19657567e-12	
7.517542e-013	8.631293e+000	6.48861012e-12	
7.871833e-013	8.631293e+000	6.79440886e-12	
8.242821e-013	8.631293e+000	7.11461986e-12	
8.631293e-013	8.631293e+000	7.4499214e-12	
9.038074e-013	8.631293e+000	7.801026e-12	
9.464025e-013	8.631293e+000	8.16867645e-12	
9.910051e-013	8.631293e+000	8.55365508e-12	
1.037710e-012	8.631293e+000	8.9567836e-12	
1.086615e-012	8.631293e+000	9.378892e-12	
1.137826e-012	8.631293e+000	9.8209138e-12	
1.191450e-012	8.631293e+000	1.0283758e-11	
1.247602e-012	8.631293e+000	1.07684122e-11	
1.306399e-012	8.631293e+000	1.12759167e-11	
1.367968e-012	8.631293e+000	1.18073387e-11	
1.432438e-012	8.631293e+000	1.23637973e-11	
1.499947e-012	8.631293e+000	1.29464781e-11	
1.570637e-012	8.631293e+000	1.35566321e-11	
1.644659e-012	8.631293e+000	1.41955368e-11	
1.722169e-012	8.631293e+000	1.4864549e-11	
1.803333e-012	8.631293e+000	1.55650908e-11	
1.888321e-012	8.631293e+000	1.62986505e-11	
1.977315e-012	8.631293e+000	1.70667824e-11	
2.070503e-012	8.631293e+000	1.78711194e-11	
2.168083e-012	8.631293e+000	1.87133606e-11	
2.270261e-012	8.631293e+000	1.9595284e-11	
2.377256e-012	8.631293e+000	2.05187859e-11	
2.489292e-012	8.631293e+000	2.14858025e-11	
2.606609e-012	8.631293e+000	2.24984016e-11	
2.729455e-012	8.631293e+000	2.35587299e-11	
2.858090e-012	8.631293e+000	2.46690132e-11	
2.992787e-012	8.631293e+000	2.5831622e-11	
3.133833e-012	8.631293e+000	2.70490326e-11	
3.281526e-012	8.631293e+000	2.8323813e-11	
3.436180e-012	8.631293e+000	2.96586763e-11	
3.598122e-012	8.631293e+000	3.1056441e-11	
3.767696e-012	8.631293e+000	3.25200838e-11	
3.945263e-012	8.631293e+000	3.40527255e-11	
4.131197e-012	8.631293e+000	3.5657567e-11	
4.325894e-012	8.631293e+000	3.73380588e-11	
4.529767e-012	8.631293e+000	3.90977435e-11	
4.743249e-012	8.631293e+000	4.09403749e-11	
4.966791e-012	8.631293e+000	4.2869825e-11	
5.200869e-012	8.631293e+000	4.48902292e-11	
5.445978e-012	8.631293e+000	4.70058284e-11	
5.702639e-012	8.631293e+000	4.922114e-11	
5.971396e-012	8.631293e+000	5.15408656e-11	
6.252819e-012	8.631293e+000	5.3969905e-11	
6.547506e-012	8.631293e+000	5.6513447e-11	
6.856080e-012	8.631293e+000	5.91768388e-11	
7.179197e-012	8.631293e+000	6.19657567e-11	
7.517542e-012	8.631293e+000	6.48861012e-11	
7.871833e-012	8.631293e+000	6.79440886e-11	
8.242821e-012	8.631293e+000	7.11461986e-11	
8.631294e-012	8.631293e+000	7.44992271e-11	
9.038074e-012	8.631293e+000	7.801026e-11	
9.464025e-012	8.631293e+000	8.16867645e-11	
9.910051e-012	8.631293e+000	8.55365508e-11	
1.037710e-011	8.631293e+000	8.9567836e-11	
1.086615e-011	8.631293e+000	9.378892e-11	
1.137826e-011	8.631293e+000	9.8209138e-11	
1.191450e-011	8.631293e+000	1.0283758e-10	
1.247602e-011	8.631293e+000	1.07684122e-10	
1.306399e-011	8.631293e+000	1.12759167e-10	
1.367968e-011	8.631293e+000	1.18073387e-10	
1.432438e-011	8.631293e+000	1.23637973e-10	
