V(out)	I(R3)	power
9.886189e-036	5.888829e+000	5.821808e-035	
1.047198e-035	5.888829e+000	6.166771e-035	
1.109249e-035	5.888829e+000	6.532176e-035	
1.174976e-035	5.888829e+000	6.919232e-035	
1.244598e-035	5.888829e+000	7.329222e-035	
1.318345e-035	5.888829e+000	7.763506e-035	
1.396461e-035	5.888829e+000	8.223522e-035	
1.479207e-035	5.888829e+000	8.710797e-035	
1.566855e-035	5.888829e+000	9.226944e-035	
1.659697e-035	5.888829e+000	9.773674e-035	
1.758041e-035	5.888829e+000	1.035280e-034	
1.862211e-035	5.888829e+000	1.096624e-034	
1.972554e-035	5.888829e+000	1.161603e-034	
2.089435e-035	5.888829e+000	1.230433e-034	
2.213242e-035	5.888829e+000	1.303340e-034	
2.344385e-035	5.888829e+000	1.380568e-034	
2.483299e-035	5.888829e+000	1.462372e-034	
2.630443e-035	5.888829e+000	1.549023e-034	
2.786307e-035	5.888829e+000	1.640808e-034	
2.951406e-035	5.888829e+000	1.738032e-034	
3.126288e-035	5.888829e+000	1.841017e-034	
3.311532e-035	5.888829e+000	1.950104e-034	
3.507752e-035	5.888829e+000	2.065655e-034	
3.715600e-035	5.888829e+000	2.188053e-034	
3.935763e-035	5.888829e+000	2.317703e-034	
4.168972e-035	5.888829e+000	2.455036e-034	
4.415999e-035	5.888829e+000	2.600506e-034	
4.677663e-035	5.888829e+000	2.754596e-034	
4.954832e-035	5.888829e+000	2.917816e-034	
5.248424e-035	5.888829e+000	3.090707e-034	
5.559413e-035	5.888829e+000	3.273843e-034	
5.888829e-035	5.888829e+000	3.467831e-034	
6.237764e-035	5.888829e+000	3.673313e-034	
6.607375e-035	5.888829e+000	3.890970e-034	
6.998886e-035	5.888829e+000	4.121524e-034	
7.413596e-035	5.888829e+000	4.365740e-034	
7.852880e-035	5.888829e+000	4.624426e-034	
8.318192e-035	5.888829e+000	4.898441e-034	
8.811076e-035	5.888829e+000	5.188692e-034	
9.333165e-035	5.888829e+000	5.496141e-034	
9.886190e-035	5.888829e+000	5.821808e-034	
1.047198e-034	5.888829e+000	6.166772e-034	
