time	V(out)
4.600707361720468e-004	4.617176e+001
4.600743600791976e-004	4.617178e+001
4.600781218020029e-004	4.617179e+001
4.600819435728814e-004	4.617181e+001
4.600861286254837e-004	4.617182e+001
4.600900363297350e-004	4.617183e+001
4.600943163040741e-004	4.617184e+001
4.600984557495341e-004	4.617186e+001
4.601030458928365e-004	4.617187e+001
4.601076542150594e-004	4.617188e+001
4.601128253249631e-004	4.617188e+001
4.601181641972509e-004	4.617189e+001
4.601242778440720e-004	4.617190e+001
4.601306747362012e-004	4.617190e+001
4.601382106306583e-004	4.617191e+001
4.601461000191728e-004	4.617191e+001
4.601557149299502e-004	4.617192e+001
4.601656776778319e-004	4.617192e+001
4.601782882483471e-004	4.617192e+001
4.601911173047922e-004	4.617193e+001
4.602079804666318e-004	4.617193e+001
4.602259546365706e-004	4.617193e+001
4.602503571506933e-004	4.617193e+001
4.602796746901049e-004	4.617193e+001
4.603239007009077e-004	4.617193e+001
4.603841262956602e-004	4.617193e+001
4.604923080660646e-004	4.617193e+001
4.606750506256684e-004	4.617193e+001
4.627848121053289e-004	4.617193e+001
4.648945735849894e-004	4.617193e+001
4.670043350646499e-004	4.617193e+001
4.691140965443103e-004	4.617193e+001
4.712238580239708e-004	4.617193e+001
4.733336195036313e-004	4.617193e+001
4.754433809832918e-004	4.617193e+001
4.996722207326685e-004	4.617193e+001
5.000000000000000e-004	4.617193e+001
5.000007211148909e-004	4.617194e+001
5.000021633446726e-004	4.617194e+001
5.000035469352335e-004	4.617195e+001
5.000048378961468e-004	4.617195e+001
5.000072098257714e-004	4.617196e+001
5.000098684759495e-004	4.617197e+001
5.000139425947364e-004	4.617198e+001
5.000187633274308e-004	4.617199e+001
5.000260570133981e-004	4.617200e+001
5.000357518799801e-004	4.617202e+001
5.000518719801882e-004	4.617203e+001
5.000788159561508e-004	4.617205e+001
5.001327039080760e-004	4.617206e+001
5.002404798119263e-004	4.617207e+001
5.004560316196270e-004	4.617207e+001
5.008871352350285e-004	4.617207e+001
5.017493424658313e-004	4.613989e+001
5.027259049658313e-004	4.549353e+001
5.030898188657015e-004	4.385699e+001
5.033302188982892e-004	4.062944e+001
5.035047352974066e-004	3.563051e+001
5.036798411744165e-004	2.706114e+001
5.038282437049761e-004	1.673711e+001
5.039338653931428e-004	7.859215e+000
5.039835437097791e-004	3.728989e+000
5.040112213374683e-004	1.936049e+000
5.040411468445771e-004	5.930769e-001
5.040506785865259e-004	3.534000e-001
5.040607145818889e-004	2.580968e-001
5.040662672723722e-004	2.305508e-001
5.040735377197994e-004	2.100728e-001
5.040810796724614e-004	1.965625e-001
5.040893898574304e-004	1.876260e-001
5.041001982323049e-004	1.808184e-001
5.041105580880041e-004	1.771553e-001
5.041276919882643e-004	1.738893e-001
5.041438606576849e-004	1.720609e-001
5.041735231524667e-004	1.698415e-001
5.042084273761279e-004	1.676560e-001
5.042732766361621e-004	1.640489e-001
5.043830792229808e-004	1.587183e-001
5.046026843966182e-004	1.501647e-001
5.050000000000000e-004	1.379246e-001
5.050397315603382e-004	1.374687e-001
5.051191946810146e-004	1.371853e-001
5.052781209223673e-004	1.371649e-001
5.054273950891453e-004	1.371692e-001
5.057259434227015e-004	1.371648e-001
5.063230400898137e-004	1.371663e-001
5.072996025898137e-004	1.371659e-001
5.082761650898137e-004	1.371660e-001
5.092527275898137e-004	1.371659e-001
5.102292900898137e-004	1.371660e-001
5.112058525898137e-004	1.371659e-001
5.121824150898137e-004	1.371659e-001
5.131589775898137e-004	1.371659e-001
5.141355400898137e-004	1.371660e-001
5.151121025898137e-004	1.371659e-001
5.160886650898137e-004	1.371659e-001
5.170652275898137e-004	1.371659e-001
5.180417900898137e-004	1.371659e-001
5.190183525898137e-004	1.371659e-001
5.199949150898137e-004	1.371659e-001
5.209714775898137e-004	1.371659e-001
5.219480400898137e-004	1.371659e-001
5.229246025898137e-004	1.371659e-001
5.239011650898137e-004	1.371659e-001
5.248777275898137e-004	1.371659e-001
5.258542900898137e-004	1.371659e-001
5.268308525898137e-004	1.371659e-001
5.278074150898137e-004	1.371659e-001
5.287839775898137e-004	1.371659e-001
5.297605400898137e-004	1.371659e-001
5.307371025898137e-004	1.371659e-001
5.317136650898137e-004	1.371659e-001
5.326902275898137e-004	1.371659e-001
5.336667900898137e-004	1.371659e-001
5.346433525898137e-004	1.371659e-001
5.356199150898137e-004	1.371659e-001
5.365964775898137e-004	1.371659e-001
5.375730400898137e-004	1.371659e-001
5.385496025898137e-004	1.371659e-001
5.395261650898137e-004	1.371659e-001
5.405027275898137e-004	1.371659e-001
5.414792900898137e-004	1.371659e-001
5.424558525898137e-004	1.371659e-001
5.434324150898137e-004	1.371659e-001
5.444089775898137e-004	1.371659e-001
5.453855400898137e-004	1.371659e-001
5.463621025898137e-004	1.371659e-001
5.473386650898137e-004	1.371659e-001
5.483152275898137e-004	1.371659e-001
5.492917900898137e-004	1.371659e-001
5.502683525898137e-004	1.371659e-001
5.512449150898137e-004	1.371659e-001
5.522214775898137e-004	1.371659e-001
5.531980400898137e-004	1.371659e-001
5.540234375000001e-004	1.371659e-001
5.550000000000001e-004	1.371652e-001
5.550976562500000e-004	1.394356e-001
5.552929687500000e-004	1.453778e-001
5.556835937500000e-004	1.637783e-001
5.561986205090465e-004	2.047974e-001
5.564465926475669e-004	2.422189e-001
5.565912964869393e-004	2.824350e-001
5.566790371343610e-004	3.239554e-001
5.567341106793119e-004	3.676054e-001
5.567755210975859e-004	4.274798e-001
5.568116074603526e-004	5.320247e-001
5.568582852065227e-004	7.753527e-001
5.569127632250554e-004	1.232929e+000
5.569771791852956e-004	2.031838e+000
5.570155935312054e-004	2.730137e+000
5.570537057637153e-004	3.687918e+000
5.570924416745606e-004	4.939960e+000
5.571699134962510e-004	7.964659e+000
5.572397893884286e-004	1.117207e+001
5.573630153578940e-004	1.769650e+001
5.575445548103547e-004	2.805868e+001
5.577598461174896e-004	3.958526e+001
5.579025610073371e-004	4.435659e+001
5.580828908619145e-004	4.612492e+001
5.582175097295648e-004	4.619587e+001
5.583763052380700e-004	4.616345e+001
5.585561709707976e-004	4.617508e+001
5.588077741111589e-004	4.617044e+001
5.592419661288563e-004	4.616897e+001
5.592850012303770e-004	4.616949e+001
5.593710714334183e-004	4.617146e+001
5.595432118395010e-004	4.617180e+001
5.596557191878347e-004	4.617179e+001
5.597749853033328e-004	4.617180e+001
5.600000000000001e-004	4.617178e+001
5.600005254618204e-004	4.617180e+001
5.600015763854610e-004	4.617181e+001
5.600036782327422e-004	4.617182e+001
5.600063251661026e-004	4.617183e+001
5.600089768658542e-004	4.617183e+001
5.600119365773514e-004	4.617184e+001
5.600146848004927e-004	4.617185e+001
5.600174876621281e-004	4.617186e+001
5.600202757073489e-004	4.617186e+001
5.600230072719289e-004	4.617187e+001
5.600259206217821e-004	4.617188e+001
5.600285453355128e-004	4.617188e+001
5.600310123146491e-004	4.617188e+001
5.600337420639658e-004	4.617189e+001
5.600361029491355e-004	4.617189e+001
5.600388215302999e-004	4.617189e+001
5.600409548654522e-004	4.617189e+001
5.600435948921404e-004	4.617190e+001
5.600455413308999e-004	4.617190e+001
5.600479873669011e-004	4.617190e+001
5.600498598011790e-004	4.617190e+001
5.600520043858552e-004	4.617191e+001
5.600537473629157e-004	4.617191e+001
5.600556628855592e-004	4.617191e+001
5.600575971254574e-004	4.617191e+001
5.600595937371225e-004	4.617191e+001
5.600619381943724e-004	4.617191e+001
5.600643257297226e-004	4.617191e+001
5.600676933667536e-004	4.617192e+001
5.600707690460803e-004	4.617192e+001
5.600750619243167e-004	4.617192e+001
5.600794959632917e-004	4.617192e+001
5.600857924214465e-004	4.617192e+001
5.600922154992507e-004	4.617192e+001
5.601030318410237e-004	4.617192e+001
5.601132042225588e-004	4.617193e+001
5.601306356902082e-004	4.617193e+001
5.601526196668189e-004	4.617193e+001
5.601920469367722e-004	4.617193e+001
5.602520005149593e-004	4.617193e+001
5.603719076713334e-004	4.617193e+001
5.606096857103970e-004	4.617193e+001
5.610852417885241e-004	4.617193e+001
5.990234375000001e-004	4.617193e+001
6.000000000000001e-004	4.617193e+001
6.000021484391598e-004	4.617194e+001
6.000064453174792e-004	4.617196e+001
6.000150390741180e-004	4.617198e+001
6.000207114723073e-004	4.617200e+001
6.000272438136641e-004	4.617201e+001
6.000363054988549e-004	4.617202e+001
6.000544288692366e-004	4.617204e+001
6.000862199401388e-004	4.617205e+001
6.001498020819431e-004	4.617206e+001
6.002769663655518e-004	4.617207e+001
6.005312949327690e-004	4.617207e+001
6.010399520672036e-004	4.617207e+001
6.020165145672036e-004	4.587302e+001
6.029930770672036e-004	4.351004e+001
6.033666942426342e-004	3.866866e+001
6.036130453310397e-004	3.023593e+001
6.037706497595017e-004	2.086132e+001
6.038954892348395e-004	1.096852e+001
6.039591794659802e-004	5.477353e+000
6.039943539467178e-004	2.811714e+000
6.040223312355411e-004	1.221860e+000
6.040384125461642e-004	5.559543e-001
6.040458431611368e-004	3.739305e-001
6.040534829560900e-004	2.869511e-001
6.040586185423764e-004	2.529936e-001
6.040654761360595e-004	2.252896e-001
6.040723556181146e-004	2.073853e-001
6.040805549832278e-004	1.943456e-001
6.040898337993229e-004	1.855524e-001
6.041004068217962e-004	1.799512e-001
